startTime;filename;year;period;size;created;sourceRecordNumber;dfSumBoxMill;dfSumPriceBill
22-07-11_17-48-33;200701.mdb;2007;200701;20893696;2022/07/11, 15:46:01;104822;20.340577189863996;44.14188879308001
22-07-11_17-48-33;200702.mdb;2007;200702;21180416;2022/07/11, 15:46:02;106212;16.921297429951;36.899873853920006
22-07-11_17-48-33;200703.mdb;2007;200703;21639168;2022/07/11, 15:46:02;108807;16.915189168289;38.326183627030005
22-07-11_17-48-33;200704.mdb;2007;200704;21704704;2022/07/11, 15:46:02;109047;15.713156379955995;34.39092447277
22-07-11_17-48-33;200705.mdb;2007;200705;21872640;2022/07/11, 15:46:02;110319;16.764633799484002;36.62976340738
22-07-11_17-48-33;200706.mdb;2007;200706;22032384;2022/07/11, 15:46:00;111173;16.176455697343;35.55999074309
22-07-11_17-48-33;200707.mdb;2007;200707;22097920;2022/07/11, 15:46:00;111470;15.340606144588001;33.78760215185
22-07-11_17-48-33;200708.mdb;2007;200708;22396928;2022/07/11, 15:46:00;113025;15.378212698345;34.21497759631
22-07-11_17-48-33;200709.mdb;2007;200709;23277568;2022/07/11, 15:46:00;113279;14.853386771707001;33.131518354490005
22-07-11_17-48-33;200710.mdb;2007;200710;23146496;2022/07/11, 15:46:01;112420;16.576067837097;36.829971445210006
22-07-11_17-48-33;200711.mdb;2007;200711;23089152;2022/07/11, 15:46:01;111361;16.038159660018003;35.20374761703
22-07-11_17-48-33;200712.mdb;2007;200712;23060480;2022/07/11, 15:46:01;111475;15.737246609102998;34.77342155913
