startTime;filename;year;period;size;created;sourceRecordNumber;dfSumBoxMill;dfSumPriceBill
22-07-11_17-38-47;200601.mdb;2006;200601;36003840;2022/07/11, 15:37:59;75334;18.521484906117;38.65707284857999
22-07-11_17-38-47;200602.mdb;2006;200602;36048896;2022/07/11, 15:37:59;75164;17.655448034701;37.3323084391
22-07-11_17-38-47;200603.mdb;2006;200603;36667392;2022/07/11, 15:37:59;76627;19.989566680725;42.924976131890006
22-07-11_17-38-47;200604.mdb;2006;200604;36282368;2022/07/11, 15:38:00;75955;17.563378172182002;38.227790848160005
22-07-11_17-38-47;200605.mdb;2006;200605;36950016;2022/07/11, 15:38:00;77285;19.693307238246;43.38491935031999
22-07-11_17-38-47;200606.mdb;2006;200606;37007360;2022/07/11, 15:38:01;77188;19.563230574372003;43.153612802
22-07-11_17-38-47;200607.mdb;2006;200607;36278272;2022/07/11, 15:38:01;75616;17.298490158815;37.57138255223
22-07-11_17-38-47;200608.mdb;2006;200608;37474304;2022/07/11, 15:38:02;78459;18.415013808538998;39.93450850305
22-07-11_17-38-47;200609.mdb;2006;200609;39071744;2022/07/11, 15:38:02;82700;18.013207829793;39.52911919320999
22-07-11_17-38-47;200610.mdb;2006;200610;42078208;2022/07/11, 15:38:02;90729;18.563632659136;40.96484135330999
22-07-11_17-38-47;200611.mdb;2006;200611;44085248;2022/07/11, 15:38:03;96006;19.250095429012;42.42103978043
22-07-11_17-38-47;200612.mdb;2006;200612;45510656;2022/07/11, 15:37:58;99644;19.733268455157;43.84432923661
22-07-11_17-48-33;200701.mdb;2007;200701;20893696;2022/07/11, 15:46:01;104822;20.340577189864;44.14188879308001
22-07-11_17-48-33;200702.mdb;2007;200702;21180416;2022/07/11, 15:46:02;106212;16.921297429951;36.899873853920006
22-07-11_17-48-33;200703.mdb;2007;200703;21639168;2022/07/11, 15:46:02;108807;16.915189168289;38.326183627030005
22-07-11_17-48-33;200704.mdb;2007;200704;21704704;2022/07/11, 15:46:02;109047;15.713156379955995;34.39092447277
22-07-11_17-48-33;200705.mdb;2007;200705;21872640;2022/07/11, 15:46:02;110319;16.764633799484002;36.62976340738
22-07-11_17-48-33;200706.mdb;2007;200706;22032384;2022/07/11, 15:46:00;111173;16.176455697343;35.55999074309
22-07-11_17-48-33;200707.mdb;2007;200707;22097920;2022/07/11, 15:46:00;111470;15.340606144588;33.78760215185
22-07-11_17-48-33;200708.mdb;2007;200708;22396928;2022/07/11, 15:46:00;113025;15.378212698345;34.21497759631
22-07-11_17-48-33;200709.mdb;2007;200709;23277568;2022/07/11, 15:46:00;113279;14.853386771707;33.131518354490005
22-07-11_17-48-33;200710.mdb;2007;200710;23146496;2022/07/11, 15:46:01;112420;16.576067837097;36.829971445210006
