year;sumdob;sumtb;sumfogyar;sumterdij;ttt_db
2006;224260123.94678894;383311428440.0677;487945901038.88544;104634050654.24063;4925
2007;196754989.3857415;314685477128.7312;433889863621.2861;119204715650.02193;4750
2008;189075065.38729686;328804788517.5693;441959716614.6158;113145202772.7917;4372
2009;211441455.27871874;350913817034.5932;466697301415.0928;115782050595.44086;5189
2010;203894796.85131517;368742845539.3417;484942862654.83215;116201463171.77797;5295
2011;207240961.589084;381776067483.0644;501652162695.4165;119876032578.46906;5649
2012;201439835.69448233;316603787069.3757;429059418324.6224;112455275600.70091;5645
2013;200110409.58732507;298641731792.33936;408408365028.3546;109769101322.97847;5420
2014;203478643.0868117;303658815988.6331;415824737780.0956;112165759641.02843;5324
2015;205128115.42344564;324029103810.8546;440912010275.58435;116842438534.68831;5275
2016;205087498.65572202;340764606701.0182;461696142591.72363;120931310084.12016;5217
2017;205253833.36702776;351534528557.9167;476096108096.0749;124561301879.88911;5222
2018;205206729.6790051;373550161492.05084;500818443479.5496;127408532442.36972;5118
2019;202773317.9637699;400156230610.4236;531087953255.0099;130926414603.79811;5159
2020;202060085.92260894;422905804352.6777;558715694175.2137;135800871121.00015;5167
2021;194622612.20881578;431803510884.73425;568544620943.1128;136718082724.41994;5300
2022;80647047.65167907;185435707968.18097;244750341859.39972;59301089689.630165;5035
2022MAT;211279743.43661156;477569849880.21924;629475941080.9188;151875011344.45892;5406
